frame,people
0,6
1,6
2,6
3,6
4,7
5,6
6,7
7,6
8,6
9,6
10,6
11,6
12,6
13,5
14,5
15,5
16,7
17,5
18,5
19,5
20,4
21,5
22,5
23,5
24,6
25,6
26,6
27,7
28,7
29,7
30,7
31,8
32,8
33,8
34,9
35,7
36,8
37,8
38,8
39,7
40,7
41,6
42,7
43,6
44,7
45,6
46,6
47,7
48,7
49,7
50,8
51,6
52,7
53,8
54,9
55,10
56,11
57,10
58,11
59,12
60,12
61,13
62,12
63,12
64,12
65,11
66,12
67,12
68,11
69,11
70,12
71,10
72,10
73,8
74,9
75,7
76,7
77,8
78,8
79,9
80,7
81,7
82,8
83,8
84,9
85,13
86,10
87,11
88,10
89,10
90,10
91,10
92,9
93,8
94,12
95,11
96,12
97,12
98,12
99,13
100,15
101,14
102,14
103,13
104,13
105,13
106,13
107,12
108,10
109,12
110,12
111,12
112,12
113,12
114,12
115,12
116,12
117,13
118,12
119,12
120,12
121,12
122,13
123,14
124,15
125,16
126,15
127,15
128,17
129,16
130,13
131,14
132,13
133,12
134,13
135,15
136,12
137,13
138,13
139,12
140,12
141,12
142,11
143,11
144,11
145,11
146,10
147,10
148,10
149,9
150,9
151,9
152,9
153,10
154,10
155,11
156,10
157,7
158,9
159,9
160,9
161,12
162,11
163,9
164,9
165,10
166,10
167,10
168,9
169,10
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,10
178,10
179,12
180,11
181,11
182,9
183,9
184,9
185,10
186,9
187,11
188,13
189,12
190,15
191,14
