frame,cx,cy,x1,y1,x2,y2,conf
0,550,322,501,205,599,439,0.7507026791572571
0,472,308,442,198,503,419,0.7233235836029053
0,659,280,622,184,697,376,0.6890466213226318
0,771,346,724,235,818,458,0.6655933260917664
0,342,576,235,438,450,715,0.5220890045166016
0,590,250,554,161,627,340,0.37296777963638306
1,548,325,501,213,595,437,0.7294623851776123
1,660,281,622,186,699,376,0.7006384134292603
1,473,309,442,198,504,421,0.6970906853675842
1,772,354,724,237,820,472,0.6880674958229065
1,336,577,234,439,439,715,0.5127825140953064
1,590,253,554,162,627,344,0.498317688703537
2,769,359,722,240,816,478,0.7345304489135742
2,472,309,441,198,503,421,0.7286661863327026
2,544,324,499,215,590,434,0.7231081128120422
2,659,283,622,188,697,378,0.6733341813087463
2,590,252,554,158,627,346,0.6055524349212646
2,305,577,224,441,387,714,0.5518061518669128
3,770,368,721,243,819,493,0.7699454426765442
3,541,325,497,218,585,432,0.7566378116607666
3,470,309,440,198,500,420,0.7560345530509949
3,318,578,218,441,419,716,0.7179704904556274
3,660,290,619,189,701,391,0.7091999650001526
3,590,255,554,162,626,348,0.5612367391586304
4,772,371,721,248,824,495,0.7659774422645569
4,537,323,495,215,579,431,0.7593896389007568
4,469,309,440,198,498,420,0.7516250014305115
4,659,288,620,189,699,388,0.7017956972122192
4,308,580,206,445,410,716,0.6873024702072144
4,590,256,553,160,628,352,0.6121829152107239
4,124,284,85,185,163,383,0.3537878692150116
5,773,373,723,250,823,496,0.81329345703125
5,467,308,439,197,496,420,0.74391108751297
5,531,317,491,205,571,429,0.717965841293335
5,659,282,620,189,698,376,0.6670915484428406
5,589,257,553,162,625,353,0.6607760787010193
5,300,581,198,449,403,714,0.6414230465888977
6,772,374,722,252,823,497,0.799241840839386
6,526,318,490,207,563,429,0.7128010988235474
6,588,258,553,162,624,354,0.6811338067054749
6,661,289,622,189,700,390,0.6804274916648865
6,465,308,436,197,495,420,0.6263723969459534
6,289,583,184,455,394,712,0.42433062195777893
6,740,247,700,176,781,319,0.3827853202819824
7,773,375,723,253,824,497,0.7913662195205688
7,587,256,551,159,623,353,0.7778962254524231
7,521,321,485,210,557,433,0.7187831401824951
7,661,289,625,189,698,390,0.6680598258972168
7,464,311,437,205,491,417,0.5853138566017151
7,257,588,177,462,338,714,0.567427933216095
8,774,376,724,254,824,498,0.7839921712875366
8,586,258,548,159,624,357,0.7702416777610779
8,521,316,482,202,561,431,0.7445966005325317
8,247,593,166,470,328,717,0.7106195092201233
8,661,294,623,190,700,399,0.687195897102356
8,462,310,437,205,488,415,0.524935781955719
9,773,373,722,253,824,493,0.7867651581764221
9,518,313,479,196,557,430,0.7325014472007751
9,663,294,625,190,701,398,0.710697591304779
9,586,260,547,159,625,361,0.7092233300209045
9,461,305,434,197,488,414,0.48285484313964844
9,234,599,147,481,322,717,0.4195749759674072
10,770,376,719,257,822,495,0.7949802875518799
